pH,rep1,rep2,rep3,rep4,rep5,rep6,rep7,rep8,rep9,media,organism
8.39333333,-3.98,-7.16,-8.96,-5.49,-8.88,-5.69,-5.16,-6.75,-6.23,NaCl,S.cerevisiae
9.35,-8.11,-8.37,-6.725,-5.72,-8.32,-7.51,-7.25,-6.34,-8.11,NaCl,S.cerevisiae
10.0333333,-7.23,-7.76,-10.4,-7.08,-9.32,-9.41,-8.34,-8.61,-10.5,NaCl,S.cerevisiae
3.93666667,-2.86,-1.98,-0.46,-0.445,-0.543,-3.12,-1.19,-1.42,-2.3,MgCl,S.cerevisiae
5.04666667,-6.52,-4.15,-6.13,-1.46,-1.48,-5.69,-7.39,-2.71,-4.75,MgCl,S.cerevisiae
6.11333333,-9.6,-6.76,-9.25,-6.98,-6.06,-7.1,-4.85,-1.81,-18.8,MgCl,S.cerevisiae
6.91,-8.02,-5.98,-9.1,-5.79,-3.96,-5.65,-6.8,-5.68,-6.1,MgCl,S.cerevisiae
7.69,-1.98,-5.27,-10.3,-8.87,-5.88,-1.08,-8.08,-7.98,-8.01,MgCl,S.cerevisiae
8.70333333,-4.29,-6.33,-10.4,-8.51,-7.83,-6.505,-8.06,-10.2,-8.14,MgCl,S.cerevisiae
9.80333333,-8.61,-4.62,-9.45,-11,-4.8,-7.24,-8.27,-9.94,-8.3,MgCl,S.cerevisiae
4.05,-15.4,-15.45,-17.2,-19.1,-20.8,-15.5,-11,-8.33,-8.98,HA,S.cerevisiae
4.95333333,-17.5,-17.5,-22,-13.1,-25.2,-10.8,-21.25,-16.1,-19.5,HA,S.cerevisiae
6.56,-24,-18.8,-14.2,-14.2,-21.2,-19.3,-14.1,-19.2,-16.2,HA,S.cerevisiae
7.385,-22.25,-16.2,-23.3,-7.07,-14.4,-22.3,-20,-18.15,-19.2,HA,S.cerevisiae
8.88666667,-20.1,-23.8,-22.6,-17.7,-25.2,-24.3,-18.8,-21.7,-23.2,HA,S.cerevisiae
9.96666667,-24.35,-18.95,-21.3,-17.1,-15.9,-20.05,-31.6,-18.1,-25.8,HA,S.cerevisiae
